"Dataset","Network","Module","Mod_Def","Percent"
"Grzmil 2011 GSE15824 RDP Tumor OR QN A.1.2.1","Bicor-None_signum0.369_minSize15_merge_ME_0.85_42548","lightpink4","Seed",5.55555555555556
"Grzmil 2011 GSE15824 RDP Tumor OR QN A.1.2.1","Bicor-None_signum0.393_minSize10_merge_ME_0.85_42548","lightpink4","Seed",5.55555555555556
"Grzmil 2011 GSE15824 RDP Tumor OR QN A.1.2.1","Bicor-None_signum0.393_minSize12_merge_ME_0.85_42548","darkorange2","Seed",5.55555555555556
"Grzmil 2011 GSE15824 RDP Tumor OR QN A.1.2.1","Bicor-None_signum0.393_minSize15_merge_ME_0.85_42548","brown4","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.307_minSize10_merge_ME_0.85_43960","coral","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.307_minSize12_merge_ME_0.85_43960","honeydew","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.307_minSize15_merge_ME_0.85_43960","palevioletred2","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.328_minSize10_merge_ME_0.85_43960","thistle","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.328_minSize12_merge_ME_0.85_43960","blue2","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.328_minSize15_merge_ME_0.85_43960","firebrick4","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.353_minSize10_merge_ME_0.85_43960","mediumpurple2","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.353_minSize12_merge_ME_0.85_43960","plum","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.353_minSize15_merge_ME_0.85_43960","antiquewhite4","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.388_minSize10_merge_ME_0.85_43960","navajowhite2","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.388_minSize12_merge_ME_0.85_43960","thistle1","Seed",5.55555555555556
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.388_minSize15_merge_ME_0.85_43960","floralwhite","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.262_minSize10_merge_ME_0.85_42548","coral1","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.262_minSize12_merge_ME_0.85_42548","lavenderblush3","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.262_minSize15_merge_ME_0.85_42548","lightpink4","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.283_minSize10_merge_ME_0.85_42548","palevioletred3","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.283_minSize12_merge_ME_0.85_42548","thistle2","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.283_minSize15_merge_ME_0.85_42548","thistle2","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize10_merge_ME_0.85_42548","mediumpurple3","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize12_merge_ME_0.85_42548","orangered4","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize15_merge_ME_0.85_42548","sienna3","Seed",5.55555555555556
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize8_merge_ME_0.85_42548","floralwhite","Seed",5.55555555555556
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize10_merge_ME_0.85_18621","paleturquoise","Seed",5.55555555555556
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize12_merge_ME_0.85_18621","steelblue","Seed",5.55555555555556
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize15_merge_ME_0.85_18621","violet","Seed",5.55555555555556
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize8_merge_ME_0.85_18621","violet","Seed",5.55555555555556
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize10_merge_ME_0.85_18621","white","Seed",5.55555555555556
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize12_merge_ME_0.85_18621","darkorange","Seed",5.55555555555556
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize15_merge_ME_0.85_18621","white","Seed",5.55555555555556
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize8_merge_ME_0.85_18621","skyblue","Seed",5.55555555555556
"Turkheimer 2006 GSE2817 RDP Tumor OR QN BC A.1.1.1.1","Bicor-None_signum0.403_minSize15_merge_ME_0.85_42548","lightpink4","Seed",5.55555555555556
"Turkheimer 2006 GSE2817 RDP Tumor OR QN BC A.1.1.1.1","Bicor-None_signum0.428_minSize15_merge_ME_0.85_42548","darkorange2","Seed",5.55555555555556
"Turkheimer 2006 GSE2817 RDP Tumor OR QN BC A.1.1.1.1","Bicor-None_signum0.459_minSize15_merge_ME_0.85_42548","lightcyan1","Seed",5.55555555555556
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.311_minSize15_merge_ME_0.85_42548","yellow4","Seed",5.55555555555556
"Yu 2016 GSE74187 EXT OR BC A.1.1.1","Bicor-None_signum0.46_minSize12_merge_ME_0.85_19000","violet","Seed",5.55555555555556
"Yu 2016 GSE74187 EXT OR BC A.1.1.1","Bicor-None_signum0.46_minSize15_merge_ME_0.85_19000","steelblue","Seed",5.55555555555556
"Yu 2016 GSE74187 EXT OR BC A.1.1.1","Bicor-None_signum0.488_minSize12_merge_ME_0.85_19000","saddlebrown","Seed",5.55555555555556
"Yu 2016 GSE74187 EXT OR BC A.1.1.1","Bicor-None_signum0.488_minSize15_merge_ME_0.85_19000","saddlebrown","Seed",5.55555555555556
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.487_minSize15_merge_ME_0.85_42548","grey60","Seed",5.55555555555556
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.327_minSize10_merge_ME_0.85_18621","purple","Seed",5.55555555555556
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.327_minSize12_merge_ME_0.85_18621","greenyellow","Seed",5.55555555555556
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.327_minSize15_merge_ME_0.85_18621","magenta","Seed",5.55555555555556
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.327_minSize8_merge_ME_0.85_18621","cyan","Seed",5.55555555555556
"Jeanmougin 2020 GSE111260 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.403_minSize12_merge_ME_0.85_20785","orange","Seed",5.26315789473684
"Jeanmougin 2020 GSE111260 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.403_minSize8_merge_ME_0.85_20785","skyblue3","Seed",5.26315789473684
"Jeanmougin 2020 GSE111260 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.429_minSize12_merge_ME_0.85_20785","darkturquoise","Seed",5.26315789473684
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.307_minSize15_merge_ME_0.85_43960","coral2","Seed",5.26315789473684
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.328_minSize15_merge_ME_0.85_43960","navajowhite2","Seed",5.26315789473684
"Lu 2012 E-MEXP-3239 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.419_minSize15_merge_ME_0.85_32968","yellow4","Seed",5.26315789473684
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.245_minSize10_merge_ME_0.85_42548","skyblue2","Seed",5.26315789473684
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.245_minSize12_merge_ME_0.85_42548","mediumorchid","Seed",5.26315789473684
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.245_minSize15_merge_ME_0.85_42548","coral1","Seed",5.26315789473684
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.428_minSize15_merge_ME_0.85_22215","salmon","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize10_merge_ME_0.85_18621","white","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize12_merge_ME_0.85_18621","darkorange","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize15_merge_ME_0.85_18621","skyblue","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize8_merge_ME_0.85_18621","skyblue","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize10_merge_ME_0.85_18621","darkgrey","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize12_merge_ME_0.85_18621","darkturquoise","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize15_merge_ME_0.85_18621","orange","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize8_merge_ME_0.85_18621","orange","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.314_minSize10_merge_ME_0.85_18621","darkgreen","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.314_minSize12_merge_ME_0.85_18621","darkgreen","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.314_minSize15_merge_ME_0.85_18621","darkred","Seed",5.26315789473684
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.314_minSize8_merge_ME_0.85_18621","darkturquoise","Seed",5.26315789473684
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.268_minSize10_merge_ME_0.85_42548","orangered3","Seed",5.26315789473684
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.268_minSize12_merge_ME_0.85_42548","orangered3","Seed",5.26315789473684
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.268_minSize15_merge_ME_0.85_42548","yellow4","Seed",5.26315789473684
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.292_minSize10_merge_ME_0.85_42548","honeydew1","Seed",5.26315789473684
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.292_minSize12_merge_ME_0.85_42548","honeydew1","Seed",5.26315789473684
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.292_minSize15_merge_ME_0.85_42548","navajowhite2","Seed",5.26315789473684
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.322_minSize10_merge_ME_0.85_42548","thistle2","Seed",5.26315789473684
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.322_minSize12_merge_ME_0.85_42548","darkslateblue","Seed",5.26315789473684
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.322_minSize15_merge_ME_0.85_42548","ivory","Seed",5.26315789473684
"Walsh 2015 GSE51062 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.45_minSize15_merge_ME_0.85_42548","cyan","Seed",5.26315789473684
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.311_minSize10_merge_ME_0.85_42548","antiquewhite4","Seed",5.26315789473684
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.311_minSize12_merge_ME_0.85_42548","coral1","Seed",5.26315789473684
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.311_minSize15_merge_ME_0.85_42548","honeydew1","Seed",5.26315789473684
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.349_minSize10_merge_ME_0.85_42548","ivory","Seed",5.26315789473684
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.349_minSize12_merge_ME_0.85_42548","ivory","Seed",5.26315789473684
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.349_minSize15_merge_ME_0.85_42548","darkmagenta","Seed",5.26315789473684
"Yu 2016 GSE74187 EXT OR BC A.1.1.1","Bicor-None_signum0.521_minSize8_merge_ME_0.85_19000","darkmagenta","Seed",5.26315789473684
"Yu 2016 GSE74187 EXT OR BC A.1.1.1","Bicor-None_signum0.565_minSize8_merge_ME_0.85_19000","darkorange","Seed",5.26315789473684
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.481_minSize20_merge_ME_0.85_23987","darkturquoise","Seed",5
"IvyGAP 2017 GSE107559 EXT Tumor OR A.1.2.2","Bicor-None_signum0.411_minSize10_merge_ME_0.85_17418","darkslateblue","Seed",5
"IvyGAP 2017 GSE107559 EXT Tumor OR A.1.2.2","Bicor-None_signum0.411_minSize12_merge_ME_0.85_17418","sienna3","Seed",5
"IvyGAP 2017 GSE107559 EXT Tumor OR A.1.2.2","Bicor-None_signum0.411_minSize15_merge_ME_0.85_17418","steelblue","Seed",5
"IvyGAP 2017 GSE107559 EXT Tumor OR A.1.2.2","Bicor-None_signum0.411_minSize20_merge_ME_0.85_17418","saddlebrown","Seed",5
"IvyGAP 2017 GSE107559 EXT Tumor OR A.1.2.2","Bicor-None_signum0.411_minSize8_merge_ME_0.85_17418","salmon4","Seed",5
"Joy 2014 GSE61335 U133A RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.37_minSize20_merge_ME_0.85_18621","midnightblue","Seed",5
"Laffaire 2014 E-MTAB-951 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.541_minSize8_merge_ME_0.85_42548","skyblue3","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.337_minSize10_merge_ME_0.85_43946","blue2","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.337_minSize12_merge_ME_0.85_43946","orangered3","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.337_minSize15_merge_ME_0.85_43946","antiquewhite4","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.337_minSize20_merge_ME_0.85_43946","lavenderblush3","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize10_merge_ME_0.85_43946","navajowhite2","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize12_merge_ME_0.85_43946","lightcyan1","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize15_merge_ME_0.85_43946","skyblue3","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize20_merge_ME_0.85_43946","saddlebrown","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize8_merge_ME_0.85_43946","lightpink4","Seed",5
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize8_merge_ME_0.85_43946","navajowhite2","Seed",5
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.431_minSize12_merge_ME_0.85_42548","lightyellow","Seed",5
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.431_minSize15_merge_ME_0.85_42548","lightgreen","Seed",5
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.431_minSize20_merge_ME_0.85_42548","lightcyan","Seed",5
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.296_minSize10_merge_ME_0.85_27357","plum3","Seed",5
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.296_minSize12_merge_ME_0.85_27357","blue2","Seed",5
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.296_minSize15_merge_ME_0.85_27357","orangered3","Seed",5
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.296_minSize20_merge_ME_0.85_27357","skyblue1","Seed",5
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.319_minSize10_merge_ME_0.85_27357","plum","Seed",5
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.319_minSize12_merge_ME_0.85_27357","coral2","Seed",5
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.319_minSize15_merge_ME_0.85_27357","lightpink4","Seed",5
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.319_minSize20_merge_ME_0.85_27357","palevioletred3","Seed",5
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.43_minSize12_merge_ME_0.85_42548","red","Seed",5
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.43_minSize15_merge_ME_0.85_42548","red","Seed",5
"Walsh 2015 GSE51062 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.394_minSize12_merge_ME_0.85_42548","darkgrey","Seed",5
"Walsh 2015 GSE51062 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.394_minSize15_merge_ME_0.85_42548","lightgreen","Seed",5
"Walsh 2015 GSE51062 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.394_minSize20_merge_ME_0.85_42548","grey60","Seed",5
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.263_minSize10_merge_ME_0.85_18621","midnightblue","Seed",5
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.263_minSize12_merge_ME_0.85_18621","tan","Seed",5
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.263_minSize15_merge_ME_0.85_18621","greenyellow","Seed",5
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.263_minSize20_merge_ME_0.85_18621","greenyellow","Seed",5
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.263_minSize8_merge_ME_0.85_18621","midnightblue","Seed",5
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.6_minSize10_merge_ME_0.85_42548","red","Seed",4.8780487804878
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.403_minSize12_merge_ME_0.85_23987","lightcyan1","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.403_minSize15_merge_ME_0.85_23987","skyblue3","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.403_minSize8_merge_ME_0.85_23987","darkorange2","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.437_minSize10_merge_ME_0.85_23987","darkmagenta","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.437_minSize12_merge_ME_0.85_23987","skyblue3","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.437_minSize15_merge_ME_0.85_23987","paleturquoise","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.437_minSize8_merge_ME_0.85_23987","mediumpurple3","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.481_minSize10_merge_ME_0.85_23987","sienna3","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.481_minSize12_merge_ME_0.85_23987","white","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.481_minSize15_merge_ME_0.85_23987","orange","Seed",4.76190476190476
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.481_minSize20_merge_ME_0.85_23987","royalblue","Seed",4.76190476190476
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.348_minSize20_merge_ME_0.85_42548","darkorange2","Seed",4.76190476190476
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.371_minSize12_merge_ME_0.85_42548","brown4","Seed",4.76190476190476
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.371_minSize15_merge_ME_0.85_42548","lightcyan1","Seed",4.76190476190476
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.371_minSize20_merge_ME_0.85_42548","lightcyan1","Seed",4.76190476190476
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.399_minSize12_merge_ME_0.85_42548","yellowgreen","Seed",4.76190476190476
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.399_minSize15_merge_ME_0.85_42548","violet","Seed",4.76190476190476
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.399_minSize20_merge_ME_0.85_42548","skyblue","Seed",4.76190476190476
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.436_minSize15_merge_ME_0.85_42548","cyan","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.284_minSize12_merge_ME_0.85_54613","indianred4","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.284_minSize15_merge_ME_0.85_54613","coral2","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.284_minSize20_merge_ME_0.85_54613","antiquewhite4","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.303_minSize12_merge_ME_0.85_54613","mediumorchid","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.303_minSize15_merge_ME_0.85_54613","lightpink4","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.303_minSize20_merge_ME_0.85_54613","honeydew1","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.327_minSize12_merge_ME_0.85_54613","lightpink4","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.327_minSize15_merge_ME_0.85_54613","brown4","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.327_minSize20_merge_ME_0.85_54613","bisque4","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.36_minSize10_merge_ME_0.85_54613","plum2","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.36_minSize12_merge_ME_0.85_54613","darkorange2","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.36_minSize15_merge_ME_0.85_54613","lightsteelblue1","Seed",4.76190476190476
"Labreche 2015 E-MTAB-2768 EXT OR QN A.1.1.1","Bicor-None_signum0.36_minSize20_merge_ME_0.85_54613","orangered4","Seed",4.76190476190476
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.271_minSize20_merge_ME_0.85_42548","darkseagreen4","Seed",4.76190476190476
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize10_merge_ME_0.85_18621","darkorange2","Seed",4.76190476190476
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize12_merge_ME_0.85_18621","darkorange2","Seed",4.76190476190476
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize15_merge_ME_0.85_18621","floralwhite","Seed",4.76190476190476
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize20_merge_ME_0.85_18621","darkorange2","Seed",4.76190476190476
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize8_merge_ME_0.85_18621","brown4","Seed",4.76190476190476
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.226_minSize10_merge_ME_0.85_18621","darkmagenta","Seed",4.76190476190476
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.226_minSize12_merge_ME_0.85_18621","darkmagenta","Seed",4.76190476190476
