"Dataset","Network","Mod_Def","SetID","Module","Min_Pval","SetName"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7684","greenyellow","0.00218954052172243","LUO_2019_EXC_L4_6_LRRK1_ADAMTSL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7685","greenyellow","0.00206312914370775","LUO_2019_EXC_L4_6_LRRK1_MLLT3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7686","ivory","0.0011173781004226","LUO_2019_EXC_L4_6_LRRK1_RXRG_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7687","orangered4","0.0042270062146059","LUO_2019_EXC_L4_PLCH1_ARHGAP15_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7688","pink","0.000116436014936791","LUO_2019_EXC_L4_PLCH1_CUX2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7689","red","0.00417941511326587","LUO_2019_EXC_L5_6_PDZRN4_CUX1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7690","darkorange2","0.000376012163817793","LUO_2019_EXC_L5_6_PDZRN4_RGS6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7691","pink","0.000386508257241846","LUO_2019_EXC_L5_6_PDZRN4_WWC2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7692","red","0.000598336164199884","LUO_2019_EXC_L6_TLE4_CPNE4_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7693","red","0.000109020140643701","LUO_2019_EXC_L6_TLE4_LMO1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7694","black","0.000181590234094592","LUO_2019_EXC_L6_TLE4_SCUBE1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7695","red","0.00072171008023924","LUO_2019_EXC_L6_TLE4_ZNF385B_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7696","turquoise","0.000164621521487889","LUO_2019_EXC_L6_TSHZ2_CALN1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7697","red","0.00405575394237055","LUO_2019_EXC_L6_TSHZ2_TCF12_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7698","midnightblue","0.00333881617668559","LUO_2019_INH_CGE_MGE_CHST9_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7699","red","0.000687865122047813","LUO_2019_INH_CGE_LAMP5_CLSTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7700","salmon","0.0159607420233672","LUO_2019_INH_CGE_LAMP5_FGFR2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7701","red","0.000519017437306611","LUO_2019_INH_CGE_LAMP5_PLD5_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7702","floralwhite","0.000157329468394011","LUO_2019_INH_CGE_NDNF_CPNE2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7703","black","0.000288478611739567","LUO_2019_INH_CGE_NDNF_IGSF3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7704","red","0.0051147109778146","LUO_2019_INH_CGE_NDNF_LDB2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7705","red","0.00226872925497805","LUO_2019_INH_CGE_NDNF_NXPH1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7706","black","0.000496402624982298","LUO_2019_INH_CGE_NDNF_SCN5A_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7707","white","0.00308019463971308","LUO_2019_INH_CGE_VIP_AFAP1L2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7708","greenyellow","0.00548552342348666","LUO_2019_INH_CGE_VIP_ASTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7709","lightcyan1","0.000999326638737507","LUO_2019_INH_CGE_VIP_DPP6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7710","orangered4","0.00891069286102559","LUO_2019_INH_CGE_VIP_LINGO2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7711","floralwhite","0.00238133175155194","LUO_2019_INH_CGE_VIP_MBP_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7712","lightcyan1","0.00336308818804508","LUO_2019_INH_CGE_VIP_NELL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7713","lightcyan1","0.00373087412049198","LUO_2019_INH_CGE_VIP_SORCS1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7714","skyblue","0.0488910822273818","LUO_2019_INH_CGE_VIP_SRGAP1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7715","black","0.00269951836642075","LUO_2019_INH_MGE_B3GAT2_AOAH_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7716","pink","0.000740282009274734","LUO_2019_INH_MGE_B3GAT2_CHST11_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7717","black","0.00427139518312999","LUO_2019_INH_MGE_B3GAT2_IGSF21_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7718","black","0.000152148935833876","LUO_2019_INH_MGE_B3GAT2_PCDH7_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7719","pink","0.000515231276245067","LUO_2019_INH_MGE_B3GAT2_PDE4B_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7720","turquoise","0.000148814510569814","LUO_2019_INH_MGE_B3GAT2_STK32A_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7721","white","0.00651707909527159","LUO_2019_INH_MGE_CALB1_HS3ST5_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7722","skyblue","0.000817117916527196","LUO_2019_INH_MGE_CALB1_ME3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7723","pink","0.00017613284131937","LUO_2019_INH_MGE_CALB1_PCDH9_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7724","skyblue","0.00688512945277838","LUO_2019_INH_MGE_PVALB_DISC1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7725","turquoise","0.00854446613215496","LUO_2019_INH_MGE_PVALB_EPHB1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7726","turquoise","0.00357148565493139","LUO_2019_INH_MGE_PVALB_KIRREL_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7727","lightcyan1","0.000999326638737507","LUO_2019_INH_MGE_PVALB_SULF1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7728","bisque4","0.00201970234450303","LUO_2019_INH_MGE_PVALB_UTRN_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7729","red","0.000598336164199884","LUO_2019_INH_MGE_UNC5B_CHRM3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7730","red","0.00328286992702403","LUO_2019_INH_MGE_UNC5B_DCLK1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7753","turquoise","0.0461246706179535","JAKEL_2019_NEURON3"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7754","lightgreen","0.000750646447126317","JAKEL_2019_NEURON4"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7755","cyan","0.000173901897758645","JAKEL_2019_NEURON5"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET8689","white","0.0259103191570656","MONJE_UP_IN_GBM_FROM_NEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize10_merge_ME_0.85_23987","TOPMODPOSBC","MOSET8690","floralwhite","0.0133481939896609","MONJE_DOWN_IN_GBM_FROM_NEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET6733","midnightblue","0.000179726663983056","ZENG_HUMAN_INTERNEURON_MARKERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET6831","tan","0.00025794133263444","Raju_18GW_INTERNEURONS_SEED"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET6832","greenyellow","0.00748608841648597","Raju_18GW_INTERNEURONS_BC"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7028","turquoise","0.0135982487529995","kelley_neuron"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7054","yellow","0.0043759414150944","kelley_neuron.2"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7118","pink","0.000262993042224983","AGARWAL_SN_2020_GABA_NEURONS_DE_NEU_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7522","black","0.102369731360265","YANG_PFC_2021_L2_3_EXCITATORY_NEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7526","grey60","0.00319439222983257","YANG_PFC_2021_L4_EXCITATORY_NEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7527","grey60","0.00031474395608883","YANG_PFC_2021_VIP_INTERNEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7528","turquoise","0.0121209596445799","YANG_PFC_2021_PV_INTERNEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7529","grey60","0.0278281558204179","YANG_PFC_2021_SST_INTERNEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7530","black","0.0101182990171367","YANG_PFC_2021_L5_6_CC_EXCITATORY_NEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7531","grey60","0.000462916529039856","YANG_PFC_2021_L5_6_EXCITATORY_NEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7532","yellow","0.00301691520705548","YANG_PFC_2021_SV2C_INTERNEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7551","grey60","0.00018738296270858","YANG_2021_NEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7597","pink","0.0165613670829351","GRUBMAN_2019_NEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7604","grey60","0.000205691114876572","ABSINTA_2021_NEURON"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7679","pink","0.00195845242476871","LUO_2019_EXC_L1_3_CUX2_NYAP2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7680","tan","0.00016210142673388","LUO_2019_EXC_L1_3_CUX2_SLC35F3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7681","tan","0.00469294006425581","LUO_2019_EXC_L2_4_RORB_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7682","pink","0.00154759747316811","LUO_2019_EXC_L4_5_FOXP2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7683","violet","0.0002072747768298","LUO_2019_EXC_L4_5_TOX_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7684","tan","0.000711760688646624","LUO_2019_EXC_L4_6_LRRK1_ADAMTSL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7685","salmon","0.00225022981223453","LUO_2019_EXC_L4_6_LRRK1_MLLT3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7686","pink","0.000551116962758151","LUO_2019_EXC_L4_6_LRRK1_RXRG_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7687","violet","0.000672153581608718","LUO_2019_EXC_L4_PLCH1_ARHGAP15_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7688","violet","0.00022741587947823","LUO_2019_EXC_L4_PLCH1_CUX2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7689","violet","0.000157739220221727","LUO_2019_EXC_L5_6_PDZRN4_CUX1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7690","tan","0.00354546370424375","LUO_2019_EXC_L5_6_PDZRN4_RGS6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7691","tan","0.000524344640807262","LUO_2019_EXC_L5_6_PDZRN4_WWC2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7692","pink","0.00134691839953194","LUO_2019_EXC_L6_TLE4_CPNE4_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7693","pink","0.000299743978105777","LUO_2019_EXC_L6_TLE4_LMO1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7694","violet","0.00652558979677879","LUO_2019_EXC_L6_TLE4_SCUBE1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7695","pink","0.00371846815167633","LUO_2019_EXC_L6_TLE4_ZNF385B_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7696","tan","0.00354546370424375","LUO_2019_EXC_L6_TSHZ2_CALN1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7697","darkturquoise","0.0223894659380679","LUO_2019_EXC_L6_TSHZ2_TCF12_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7698","greenyellow","0.000298568559141678","LUO_2019_INH_CGE_MGE_CHST9_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7699","pink","0.000217003995376169","LUO_2019_INH_CGE_LAMP5_CLSTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7700","turquoise","0.000155423721595118","LUO_2019_INH_CGE_LAMP5_FGFR2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7701","violet","0.00652558979677879","LUO_2019_INH_CGE_LAMP5_PLD5_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7702","yellow","0.0101991593562601","LUO_2019_INH_CGE_NDNF_CPNE2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7703","violet","0.000509958693021397","LUO_2019_INH_CGE_NDNF_IGSF3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7704","pink","0.00643496408567191","LUO_2019_INH_CGE_NDNF_LDB2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7705","violet","0.000314654066479064","LUO_2019_INH_CGE_NDNF_NXPH1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7706","violet","0.00442687065310773","LUO_2019_INH_CGE_NDNF_SCN5A_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7707","turquoise","0.0230456448844618","LUO_2019_INH_CGE_VIP_AFAP1L2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7708","salmon","0.00462426302515831","LUO_2019_INH_CGE_VIP_ASTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7709","turquoise","0.00311500766513041","LUO_2019_INH_CGE_VIP_DPP6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7710","darkgreen","0.00416462797592947","LUO_2019_INH_CGE_VIP_LINGO2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7711","violet","0.0042891004339419","LUO_2019_INH_CGE_VIP_MBP_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7712","turquoise","0.000301446419502569","LUO_2019_INH_CGE_VIP_NELL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7713","turquoise","0.0147996174736144","LUO_2019_INH_CGE_VIP_SORCS1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7714","lightgreen","0.0185536635686222","LUO_2019_INH_CGE_VIP_SRGAP1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSBC","MOSET7715","violet","0.00443843021200641","LUO_2019_INH_MGE_B3GAT2_AOAH_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.548_minSize12_merge_ME_0.85_23987","TOPMODPOSFDR","MOSET7716","tan","0.00010490607126191","LUO_2019_INH_MGE_B3GAT2_CHST11_DE_NEURON_CLUSTERS"
